# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# UX       = Maximale relatieve vochtigheid (in procenten); 
# 
# STN,YYYYMMDD,   TN,   TX,   SQ,   UX
# 
  240,20180101,   56,   83,   16,   95
  240,20180102,   37,   94,    7,   96
  240,20180103,   58,  114,    0,   95
  240,20180104,   69,  109,    0,   97
  240,20180105,   33,   79,    0,   95
  240,20180106,   15,   70,    2,   98
  240,20180107,   -8,   39,   65,   84
  240,20180108,  -13,   35,   67,   81
  240,20180109,   -4,   56,    9,   93
  240,20180110,   53,   74,    0,   97
  240,20180111,   38,   73,    0,   98
  240,20180112,   38,   63,    0,   98
  240,20180113,   27,   62,    0,   99
  240,20180114,   10,   51,   27,   91
  240,20180115,   24,   83,    0,   95
  240,20180116,   29,   71,   29,   87
  240,20180117,   18,   64,   16,   81
  240,20180118,   19,  100,   10,   95
  240,20180119,   12,   65,   33,   92
  240,20180120,  -10,   37,   11,   97
  240,20180121,    3,   70,   38,   95
  240,20180122,   23,   82,    0,   98
  240,20180123,   32,  112,    6,   97
  240,20180124,   70,  138,    0,   96
  240,20180125,   42,   95,   15,   95
  240,20180126,   24,   85,   12,   99
  240,20180127,    7,   83,   19,   97
  240,20180128,   79,  112,   16,   95
  240,20180129,   33,  111,    7,   94
  240,20180130,   17,   80,   62,   96
  240,20180131,   27,   97,    5,   98
  240,20180201,   23,   64,   39,   93
  240,20180202,  -15,   75,   27,   93
  240,20180203,  -14,   46,    5,   97
  240,20180204,    4,   44,   35,   86
  240,20180205,  -22,   36,   29,   82
  240,20180206,  -47,   15,   80,   87
  240,20180207,  -60,   27,   85,   88
  240,20180208,  -28,   57,   63,   89
  240,20180209,   -9,   22,   10,   98
  240,20180210,    6,   65,   44,   99
  240,20180211,   22,   73,   32,   95
  240,20180212,   -1,   57,   56,   87
  240,20180213,   -9,   62,   87,   91
  240,20180214,  -20,   61,   87,   76
  240,20180215,    4,   98,   32,   99
  240,20180216,  -25,   79,   86,   95
  240,20180217,  -21,   77,   60,   94
  240,20180218,  -29,   74,   88,   90
  240,20180219,   -4,   32,    0,   91
  240,20180220,  -37,   46,    7,   97
  240,20180221,  -33,   49,   92,   98
  240,20180222,  -21,   45,   91,   85
  240,20180223,  -28,   33,   74,   91
  240,20180224,  -30,   37,   85,   64
  240,20180225,  -47,   14,   95,   80
  240,20180226,  -51,    6,   89,   80
  240,20180227,  -58,    6,   88,   84
  240,20180228,  -87,  -45,   65,   89
  240,20180301,  -85,   -9,   54,   65
  240,20180302,  -71,    2,   78,   64
  240,20180303,  -48,   12,   25,   78
  240,20180304,  -21,  107,   44,   95
  240,20180305,   28,  117,   93,   95
  240,20180306,    6,  100,   13,   88
  240,20180307,   34,  111,   41,   97
  240,20180308,   13,   92,   33,   97
  240,20180309,   11,  102,   55,   97
  240,20180310,   68,  148,    7,   99
  240,20180311,   53,  117,   21,   98
  240,20180312,   54,  139,   22,   97
  240,20180313,   41,   87,    5,   97
  240,20180314,   -2,  113,   70,   99
  240,20180315,   31,  107,   40,   91
  240,20180316,    3,   63,    0,   94
  240,20180317,  -24,    6,   34,   70
  240,20180318,  -29,   26,   94,   54
  240,20180319,  -33,   39,  111,   78
  240,20180320,   -6,   81,  107,   95
  240,20180321,  -36,   85,   81,   98
  240,20180322,   45,  100,   54,   97
  240,20180323,   39,   73,    0,   93
  240,20180324,   23,  103,   30,   95
  240,20180325,    3,  114,   29,  100
  240,20180326,   -7,  115,   82,  100
  240,20180327,   13,   99,    7,   99
  240,20180328,   29,   77,    0,   98
  240,20180329,   16,  105,   80,   97
  240,20180330,   55,  135,   47,   94
  240,20180331,   26,  114,   21,   98
  240,20180401,   13,   74,    7,   97
  240,20180402,   12,  117,   16,   96
  240,20180403,   82,  170,   35,   96
  240,20180404,   74,  145,   27,   94
  240,20180405,   14,   97,   54,   93
  240,20180406,   17,  149,  118,   88
  240,20180407,   80,  209,   88,   82
  240,20180408,   81,  215,   77,   95
  240,20180409,   83,  145,    5,   95
  240,20180410,  101,  199,   40,   92
  240,20180411,   88,  179,   38,   96
  240,20180412,   66,  129,    1,   98
  240,20180413,   60,  142,   16,   99
  240,20180414,   71,  150,   31,   97
  240,20180415,   93,  175,   21,   98
  240,20180416,   55,  151,  113,   96
  240,20180417,   50,  198,  107,   86
  240,20180418,   74,  234,  130,   94
  240,20180419,  135,  273,  130,   73
  240,20180420,   97,  248,  124,   89
  240,20180421,   78,  203,  132,   95
  240,20180422,  107,  258,  101,   82
  240,20180423,   98,  150,   92,   86
  240,20180424,  102,  151,   11,   90
  240,20180425,   88,  141,   60,   92
  240,20180426,   69,  133,   86,   89
  240,20180427,   50,  147,   27,   93
  240,20180428,   59,  143,   14,   97
  240,20180429,   76,  118,    2,   93
  240,20180430,   67,  114,    0,   96
  240,20180501,   53,  121,   68,   91
  240,20180502,   44,  170,   98,   94
  240,20180503,   55,  143,  138,   93
  240,20180504,   40,  173,  138,   93
  240,20180505,   71,  205,  138,   80
  240,20180506,   95,  250,  142,   69
  240,20180507,  131,  251,  142,   80
  240,20180508,  124,  266,  142,   77
  240,20180509,  106,  231,  127,   94
  240,20180510,   67,  160,   61,   94
  240,20180511,   58,  185,  113,   97
  240,20180512,  100,  228,   90,   80
  240,20180513,  108,  179,    4,   96
  240,20180514,  106,  253,  109,   99
  240,20180515,  137,  238,  141,   90
  240,20180516,   89,  195,   92,   86
  240,20180517,   57,  142,  116,   88
  240,20180518,   56,  138,   30,   88
  240,20180519,   79,  136,    3,   98
  240,20180520,   67,  222,  126,   99
  240,20180521,  108,  249,  103,   79
  240,20180522,  137,  221,    8,   81
  240,20180523,  143,  251,   52,   94
  240,20180524,  154,  229,   50,   79
  240,20180525,  164,  245,   84,   93
  240,20180526,  159,  273,  141,   90
  240,20180527,  177,  252,   65,   84
  240,20180528,  161,  290,  133,   90
  240,20180529,  163,  301,  107,   97
  240,20180530,  168,  264,   72,   97
  240,20180531,  159,  236,   72,   98
  240,20180601,  135,  219,   24,   99
  240,20180602,  145,  189,    0,   98
  240,20180603,  143,  230,   97,   98
  240,20180604,  145,  228,   35,   95
  240,20180605,  123,  202,   78,   90
  240,20180606,  115,  260,  153,   94
  240,20180607,  136,  278,  141,   97
  240,20180608,  152,  208,    0,   97
  240,20180609,  161,  236,   57,   91
  240,20180610,  132,  226,   92,   93
  240,20180611,  122,  217,  130,   89
  240,20180612,  133,  170,   25,   80
  240,20180613,  119,  188,   81,   78
  240,20180614,  120,  202,   23,   97
  240,20180615,  113,  230,   74,   98
  240,20180616,  134,  207,   50,   94
  240,20180617,  141,  189,   24,   83
  240,20180618,  139,  192,   31,   96
  240,20180619,  161,  222,   48,   90
  240,20180620,  144,  237,   71,   96
  240,20180621,  119,  165,   82,   94
  240,20180622,   81,  161,   14,   87
  240,20180623,   87,  189,   40,   92
  240,20180624,   98,  181,   24,   95
  240,20180625,  102,  207,   94,   95
  240,20180626,   91,  217,  148,   96
  240,20180627,  127,  231,   98,   90
  240,20180628,  155,  268,  155,   93
  240,20180629,  142,  263,  155,   92
  240,20180630,  144,  270,  155,   93
  240,20180701,  166,  268,  153,   46
  240,20180702,  143,  254,  153,   66
  240,20180703,  147,  245,  153,   85
  240,20180704,  141,  256,  129,   87
  240,20180705,  125,  223,  133,   94
  240,20180706,  143,  246,   71,   90
  240,20180707,  122,  249,  109,   88
  240,20180708,  129,  243,  151,   93
  240,20180709,  130,  221,   27,   98
  240,20180710,  128,  217,   51,   95
  240,20180711,  102,  229,  105,   98
  240,20180712,  126,  231,  119,   96
  240,20180713,  122,  237,  110,   95
  240,20180714,  113,  243,  140,   96
  240,20180715,  127,  277,  131,   84
  240,20180716,  152,  289,  124,   70
  240,20180717,  150,  240,  134,   88
  240,20180718,  130,  245,  116,   91
  240,20180719,  143,  256,  117,   98
  240,20180720,  128,  254,  123,   92
  240,20180721,  146,  258,  133,   84
  240,20180722,  142,  264,  102,   98
  240,20180723,  149,  289,  149,   93
  240,20180724,  168,  304,  132,   96
  240,20180725,  187,  306,   85,   90
  240,20180726,  208,  348,  107,   81
  240,20180727,  214,  357,  111,   72
  240,20180728,  147,  256,   76,   92
  240,20180729,  146,  269,   43,   77
  240,20180730,  182,  294,   46,   84
  240,20180731,  140,  256,   96,   94
  240,20180801,  116,  260,  110,   97
  240,20180802,  152,  280,  133,   95
  240,20180803,  151,  305,  140,   93
  240,20180804,  176,  279,   98,   88
  240,20180805,  159,  260,  133,   88
  240,20180806,  155,  304,  139,   88
  240,20180807,  165,  337,  100,   93
  240,20180808,  137,  235,   50,   92
  240,20180809,  126,  228,   18,   96
  240,20180810,  124,  220,   76,   94
  240,20180811,  119,  204,  109,   93
  240,20180812,  131,  268,   28,   77
  240,20180813,  177,  227,   30,   92
  240,20180814,  164,  228,   75,   93
  240,20180815,  171,  238,   30,   93
  240,20180816,  159,  219,   21,   92
  240,20180817,  140,  226,  110,   97
  240,20180818,  138,  219,   37,   92
  240,20180819,  176,  237,    4,   93
  240,20180820,  150,  234,   70,   93
  240,20180821,  156,  252,   70,   96
  240,20180822,  158,  247,   93,   98
  240,20180823,  131,  225,    1,   96
  240,20180824,  110,  189,   85,   95
  240,20180825,   89,  180,   69,   97
  240,20180826,   67,  199,   65,   97
  240,20180827,  141,  201,   20,   97
  240,20180828,  113,  218,   24,   98
  240,20180829,  106,  197,   17,   98
  240,20180830,  104,  195,   98,   93
  240,20180831,   93,  188,   26,   97
  240,20180901,   86,  209,  104,   97
  240,20180902,   95,  226,  110,   97
  240,20180903,  135,  229,   44,   94
  240,20180904,  178,  250,   32,   97
  240,20180905,  168,  204,   14,   98
  240,20180906,  135,  185,    8,   98
  240,20180907,  128,  172,   86,   97
  240,20180908,  101,  183,   20,   93
  240,20180909,  129,  226,   57,   94
  240,20180910,  147,  190,   14,   95
  240,20180911,  145,  220,   20,   96
  240,20180912,  108,  183,    1,   98
  240,20180913,   75,  186,  111,   98
  240,20180914,   76,  198,   69,   95
  240,20180915,  110,  193,   87,   90
  240,20180916,  105,  216,   52,   95
  240,20180917,  111,  234,   82,   91
  240,20180918,  148,  236,  112,   84
  240,20180919,  138,  231,   86,   92
  240,20180920,  162,  225,   42,   90
  240,20180921,  103,  198,   50,   89
  240,20180922,  108,  165,   11,   95
  240,20180923,   74,  116,    1,   97
  240,20180924,   65,  157,   94,   93
  240,20180925,   56,  167,   81,   98
  240,20180926,   65,  188,   96,   91
  240,20180927,  101,  210,  105,   98
  240,20180928,   61,  162,   42,   89
  240,20180929,   43,  160,  106,   96
  240,20180930,   41,  169,   81,   93
  240,20181001,   77,  131,   61,   93
  240,20181002,   86,  169,   38,   96
  240,20181003,   98,  160,   75,   93
  240,20181004,  101,  182,   16,   96
  240,20181005,   86,  202,  102,   98
  240,20181006,   80,  198,   73,   98
  240,20181007,   63,  149,   80,   97
  240,20181008,   57,  167,   73,   97
  240,20181009,   83,  182,   84,   97
  240,20181010,   74,  228,   98,   98
  240,20181011,  132,  222,   56,   88
  240,20181012,  135,  217,   81,   93
  240,20181013,  162,  256,   90,   84
  240,20181014,  149,  238,   78,   81
  240,20181015,  129,  224,   60,   98
  240,20181016,  113,  233,   68,   98
  240,20181017,   99,  191,   77,   98
  240,20181018,   82,  158,   51,   96
  240,20181019,   46,  147,   75,   97
  240,20181020,   42,  161,   37,   97
  240,20181021,   94,  162,   17,   94
  240,20181022,   64,  150,   70,   94
  240,20181023,  102,  150,    6,   84
  240,20181024,  127,  162,   32,   97
  240,20181025,  109,  134,    2,   95
  240,20181026,   61,  124,   12,   94
  240,20181027,   48,  117,   44,   94
  240,20181028,   25,   79,   87,   80
  240,20181029,   36,   63,    8,   90
  240,20181030,   38,  102,    1,   96
  240,20181031,   53,  112,   71,   94
  240,20181101,   83,  123,    7,   95
  240,20181102,   38,  115,   65,   93
  240,20181103,   11,  107,   70,   97
  240,20181104,   19,  111,   72,   97
  240,20181105,   52,  103,   21,   97
  240,20181106,   65,  189,   55,   97
  240,20181107,   83,  132,   15,   92
  240,20181108,   50,  130,   80,   93
  240,20181109,   69,  114,   36,   91
  240,20181110,   91,  130,    2,   97
  240,20181111,   79,  137,   15,   97
  240,20181112,   80,  124,    9,   98
  240,20181113,   78,  136,   60,   96
  240,20181114,   59,  131,   73,   96
  240,20181115,   32,  124,   79,   95
  240,20181116,   -6,   51,    2,   98
  240,20181117,   13,   82,   75,   92
  240,20181118,    4,   68,   67,   86
  240,20181119,   36,   72,   12,   87
  240,20181120,   28,   44,    0,   82
  240,20181121,   20,   52,   12,   85
  240,20181122,   11,   44,   10,   93
  240,20181123,    9,   59,    5,   95
  240,20181124,   14,   34,    0,   98
  240,20181125,   24,   50,    5,   94
  240,20181126,   33,   57,    0,   90
  240,20181127,   13,   53,    0,   94
  240,20181128,   34,   96,    0,   97
  240,20181129,   96,  111,    3,   98
  240,20181130,   58,  117,   56,   95
  240,20181201,   40,  100,    2,   98
  240,20181202,  100,  137,    0,   98
  240,20181203,   55,  134,   10,   97
  240,20181204,   19,   94,   57,   95
  240,20181205,   28,   89,    0,   98
  240,20181206,   88,  123,    0,   98
  240,20181207,   69,  120,    0,   98
  240,20181208,   78,  115,    7,   92
  240,20181209,   55,  101,   28,   92
  240,20181210,   31,   81,   30,   90
  240,20181211,    7,   79,   20,   98
  240,20181212,  -21,   59,   46,   98
  240,20181213,    1,   27,   63,   93
  240,20181214,  -14,   37,   50,   92
  240,20181215,  -11,   14,    0,   95
  240,20181216,   -8,   38,    0,   98
  240,20181217,   20,   90,    8,   98
  240,20181218,   35,   79,   10,   97
  240,20181219,   54,   95,   13,   96
  240,20181220,   61,   83,    0,   96
  240,20181221,   71,  135,    0,   98
  240,20181222,   68,  101,    7,   98
  240,20181223,   40,   85,    0,   98
  240,20181224,   44,   89,   51,   93
  240,20181225,   38,   85,   22,   85
  240,20181226,   37,   64,    0,   93
  240,20181227,   -6,   55,   30,   94
  240,20181228,    8,   72,    0,   96
  240,20181229,   68,  108,    0,   98
  240,20181230,   68,   98,    2,   98
  240,20181231,   83,  109,   16,   97
