Country,GDP,3code,fillKey
Afghanistan,700,AFG,VERYLOW
Albania,4500,ALB,LOW
Algeria,6000,DZA,LOW
American Samoa,8000,ASM,MEDIUM
Andorra,19000,AND,HIGH
Angola,1900,AGO,VERYLOW
Anguilla,8600,AIA,MEDIUM
Argentina,11200,ARG,MEDIUM
Armenia,3500,ARM,LOW
Aruba,28000,ABW,VERYHIGH
Australia,29000,AUS,VERYHIGH
Austria,30000,AUT,VERYHIGH
Azerbaijan,3400,AZE,VERYLOW
Bahrain,16900,BHR,HIGH
Bangladesh,1900,BGD,VERYLOW
Barbados,15700,BRB,HIGH
Belarus,6100,BLR,LOW
Belgium,29100,BEL,VERYHIGH
Belize,4900,BLZ,LOW
Benin,1100,BEN,VERYLOW
Bermuda,36000,BMU,VERYHIGH
Bhutan,1300,BTN,VERYLOW
Bolivia,2400,BOL,VERYLOW
Botswana,9000,BWA,MEDIUM
Brazil,7600,BRA,MEDIUM
Brunei,18600,BRN,HIGH
Bulgaria,7600,BGR,MEDIUM
Burkina Faso,1100,BFA,VERYLOW
Burma,1800,MMR,VERYLOW
Burundi,600,BDI,VERYLOW
Cambodia,1900,KHM,VERYLOW
Cameroon,1800,CMR,VERYLOW
Canada,29800,CAN,VERYHIGH
Cape Verde,1400,CPV,VERYLOW
Cayman Islands,35000,CYM,VERYHIGH
Chad,1200,TCD,VERYLOW
Chile,9900,CHL,MEDIUM
China,5000,CHN,LOW
Colombia,6300,COL,LOW
Comoros,700,COM,VERYLOW
Cook Islands,5000,COK,LOW
Costa Rica,9100,CRI,MEDIUM
Croatia,10600,HRV,MEDIUM
Cuba,2900,CUB,VERYLOW
Cyprus,19200,CYP,HIGH
Denmark,31100,DNK,VERYHIGH
Djibouti,1300,DJI,VERYLOW
Dominica,5400,DMA,LOW
Dominican Republic,6000,DOM,LOW
Ecuador,3300,ECU,VERYLOW
Egypt,4000,EGY,LOW
El Salvador,4800,SLV,LOW
Equatorial Guinea,2700,GNQ,VERYLOW
Eritrea,700,ERI,VERYLOW
Estonia,12300,EST,MEDIUM
Ethiopia,700,ETH,VERYLOW
Faroe Islands,22000,FRO,HIGH
Fiji,5800,FJI,LOW
Finland,27400,FIN,VERYHIGH
France,27600,FRA,VERYHIGH
French Guiana,8300,GUF,MEDIUM
French Polynesia,17500,PYF,HIGH
Gabon,5500,GAB,LOW
Georgia,2500,GEO,VERYLOW
Germany,27600,DEU,VERYHIGH
Ghana,2200,GHA,VERYLOW
Gibraltar,17500,GIB,HIGH
Greece,20000,GRC,HIGH
Greenland,20000,GRL,HIGH
Grenada,5000,GRD,LOW
Guadeloupe,8000,GLP,MEDIUM
Guam,21000,GUM,HIGH
Guatemala,4100,GTM,LOW
Guernsey,20000,GGY,HIGH
Guinea,2100,GIN,VERYLOW
Guinea-Bissau,800,GNB,VERYLOW
Guyana,4000,GUY,LOW
Haiti,1600,HTI,VERYLOW
Honduras,2600,HND,VERYLOW
Hong Kong,28800,HKG,VERYHIGH
Hungary,13900,HUN,MEDIUM
