,Country,GDP,3code,fillKey
0,Afghanistan,700,AFG,<3500
1,Albania,4500,ALB,3500-7500
2,Algeria,6000,DZA,3500-7500
3,American Samoa,8000,ASM,7500-15000
4,Andorra,19000,AND,15000-25000
5,Angola,1900,AGO,<3500
6,Anguilla,8600,AIA,7500-15000
7,Argentina,11200,ARG,7500-15000
8,Armenia,3500,ARM,3500-7500
9,Aruba,28000,ABW,>25000
10,Australia,29000,AUS,>25000
11,Austria,30000,AUT,>25000
12,Azerbaijan,3400,AZE,<3500
13,Bahrain,16900,BHR,15000-25000
14,Bangladesh,1900,BGD,<3500
15,Barbados,15700,BRB,15000-25000
16,Belarus,6100,BLR,3500-7500
17,Belgium,29100,BEL,>25000
18,Belize,4900,BLZ,3500-7500
19,Benin,1100,BEN,<3500
20,Bermuda,36000,BMU,>25000
21,Bhutan,1300,BTN,<3500
22,Bolivia,2400,BOL,<3500
23,Botswana,9000,BWA,7500-15000
24,Brazil,7600,BRA,7500-15000
25,Brunei,18600,BRN,15000-25000
26,Bulgaria,7600,BGR,7500-15000
27,Burkina Faso,1100,BFA,<3500
28,Burma,1800,MMR,<3500
29,Burundi,600,BDI,<3500
30,Cambodia,1900,KHM,<3500
31,Cameroon,1800,CMR,<3500
32,Canada,29800,CAN,>25000
33,Cape Verde,1400,CPV,<3500
34,Cayman Islands,35000,CYM,>25000
35,Chad,1200,TCD,<3500
36,Chile,9900,CHL,7500-15000
37,China,5000,CHN,3500-7500
38,Colombia,6300,COL,3500-7500
39,Comoros,700,COM,<3500
40,Cook Islands,5000,COK,3500-7500
41,Costa Rica,9100,CRI,7500-15000
42,Croatia,10600,HRV,7500-15000
43,Cuba,2900,CUB,<3500
44,Cyprus,19200,CYP,15000-25000
45,Denmark,31100,DNK,>25000
46,Djibouti,1300,DJI,<3500
47,Dominica,5400,DMA,3500-7500
48,Dominican Republic,6000,DOM,3500-7500
49,Ecuador,3300,ECU,<3500
50,Egypt,4000,EGY,3500-7500
51,El Salvador,4800,SLV,3500-7500
52,Equatorial Guinea,2700,GNQ,<3500
53,Eritrea,700,ERI,<3500
54,Estonia,12300,EST,7500-15000
55,Ethiopia,700,ETH,<3500
56,Faroe Islands,22000,FRO,15000-25000
57,Fiji,5800,FJI,3500-7500
58,Finland,27400,FIN,>25000
59,France,27600,FRA,>25000
60,French Guiana,8300,GUF,7500-15000
61,French Polynesia,17500,PYF,15000-25000
62,Gabon,5500,GAB,3500-7500
63,Georgia,2500,GEO,<3500
64,Germany,27600,DEU,>25000
65,Ghana,2200,GHA,<3500
66,Gibraltar,17500,GIB,15000-25000
67,Greece,20000,GRC,15000-25000
68,Greenland,20000,GRL,15000-25000
69,Grenada,5000,GRD,3500-7500
70,Guadeloupe,8000,GLP,7500-15000
71,Guam,21000,GUM,15000-25000
72,Guatemala,4100,GTM,3500-7500
73,Guernsey,20000,GGY,15000-25000
74,Guinea,2100,GIN,<3500
75,Guinea-Bissau,800,GNB,<3500
76,Guyana,4000,GUY,3500-7500
77,Haiti,1600,HTI,<3500
78,Honduras,2600,HND,<3500
79,Hong Kong,28800,HKG,>25000
80,Hungary,13900,HUN,7500-15000
81,Iceland,30900,ISL,>25000
82,India,2900,IND,<3500
83,Indonesia,3200,IDN,<3500
84,Iraq,1500,IRQ,<3500
85,Ireland,29600,IRL,>25000
86,Isle of Man,21000,IMN,15000-25000
87,Israel,19800,ISR,15000-25000
88,Italy,26700,ITA,>25000
89,Japan,28200,JPN,>25000
90,Jersey,24800,JEY,15000-25000
91,Jordan,4300,JOR,3500-7500
92,Kazakhstan,6300,KAZ,3500-7500
93,Kenya,1000,KEN,<3500
94,Kiribati,800,KIR,<3500
95,Kuwait,19000,KWT,15000-25000
96,Kyrgyzstan,1600,KGZ,<3500
97,Latvia,10200,LVA,7500-15000
98,Lebanon,4800,LBN,3500-7500
99,Lesotho,3000,LSO,<3500
100,Liberia,1000,LBR,<3500
101,Libya,6400,LBY,3500-7500
102,Liechtenstein,25000,LIE,>25000
103,Lithuania,11400,LTU,7500-15000
104,Luxembourg,55100,LUX,>25000
105,Madagascar,800,MDG,<3500
106,Malawi,600,MWI,<3500
107,Malaysia,9000,MYS,7500-15000
108,Maldives,3900,MDV,3500-7500
109,Mali,900,MLI,<3500
110,Malta,17700,MLT,15000-25000
111,Marshall Islands,1600,MHL,<3500
112,Martinique,14400,MTQ,7500-15000
113,Mauritania,1800,MRT,<3500
114,Mauritius,11400,MUS,7500-15000
115,Mayotte,2600,MYT,<3500
116,Mexico,9000,MEX,7500-15000
117,Monaco,27000,MCO,>25000
118,Mongolia,1800,MNG,<3500
119,Montserrat,3400,MSR,<3500
120,Morocco,4000,MAR,3500-7500
121,Mozambique,1200,MOZ,<3500
122,Namibia,7200,NAM,3500-7500
123,Nauru,5000,NRU,3500-7500
124,Nepal,1400,NPL,<3500
125,Netherlands,28600,NLD,>25000
126,Netherlands Antilles,11400,ANT,7500-15000
127,New Caledonia,15000,NCL,15000-25000
128,New Zealand,21600,NZL,15000-25000
129,Nicaragua,2300,NIC,<3500
130,Niger,800,NER,<3500
131,Nigeria,900,NGA,<3500
132,Norway,37800,NOR,>25000
133,Oman,13100,OMN,7500-15000
134,Pakistan,2100,PAK,<3500
135,Palau,9000,PLW,7500-15000
136,Panama,6300,PAN,3500-7500
137,Papua New Guinea,2200,PNG,<3500
138,Paraguay,4700,PRY,3500-7500
139,Peru,5100,PER,3500-7500
140,Philippines,4600,PHL,3500-7500
141,Poland,11100,POL,7500-15000
142,Portugal,18000,PRT,15000-25000
143,Puerto Rico,16800,PRI,15000-25000
144,Qatar,21500,QAT,15000-25000
145,Romania,7000,ROU,3500-7500
146,Russia,8900,RUS,7500-15000
147,Rwanda,1300,RWA,<3500
148,Saint Lucia,5400,LCA,3500-7500
149,Saint Vincent and the Grenadines,2900,VCT,<3500
150,Samoa,5600,WSM,3500-7500
151,San Marino,34600,SMR,>25000
152,Saudi Arabia,11800,SAU,7500-15000
153,Senegal,1600,SEN,<3500
